lambda,Trans5mm,Alpha
485.915493,0.86440678,29.14236224
487.3239437,0.872033898,27.38539633
488.7323944,0.875423729,26.60944967
490.1408451,0.877118644,26.22260235
491.5492958,0.877118644,26.22260235
492.9577465,0.875423729,26.60944967
494.3661972,0.871186441,27.57985429
495.7746479,0.863559322,29.33853685
497.1830986,0.851779661,32.08547989
498.5915493,0.83559322,35.92267257
500,0.81779661,40.22832322
501.4084507,0.8,44.62871026
502.8169014,0.784745763,48.47909656
504.2253521,0.769491525,52.40506777
505.6338028,0.75,57.53641449
507.0422535,0.723728814,64.66770473
508.4507042,0.689830508,74.26187029
509.8591549,0.634745763,90.90614679
511.2676056,0.584745763,107.315624
512.6760563,0.548305085,120.1846846
514.084507,0.549152542,119.8758042
515.4929577,0.568644068,112.9001161
516.9014085,0.598305085,102.730896
518.3098592,0.619491525,95.77125154
519.7183099,0.624576271,94.13636505
521.1267606,0.575282486,110.5788158
522.5352113,0.510116936,134.6230586
523.943662,0.43559322,166.2092904
525.3521127,0.384745763,191.0345039
526.7605634,0.396610169,184.9602843
528.1690141,0.430508475,168.557654
529.5774648,0.493220339,141.3598539
530.9859155,0.541525424,122.6730526
532.3943662,0.595762712,103.5825651
533.8028169,0.650847458,85.89599686
535.2112676,0.7,71.33498879
536.6197183,0.746610169,58.4424183
538.028169,0.790677966,46.97290332
539.4366197,0.823728814,38.7827826
540.8450704,0.841525424,34.50781068
542.2535211,0.853389831,31.70776495
543.6619718,0.858474576,30.51964264
545.0704225,0.861016949,29.92821786
546.4788732,0.861864407,29.73146428
547.8873239,0.86440678,29.14236224
549.2957746,0.866101695,28.75058934
550.7042254,0.86779661,28.35958237
552.1126761,0.868644068,28.16436518
553.5211268,0.870338983,27.77450151
554.9295775,0.871186441,27.57985429
556.3380282,0.872881356,27.19112725
557.7464789,0.873728814,26.99704669
559.1549296,0.873728814,26.99704669
560.5633803,0.873728814,26.99704669
561.971831,0.872881356,27.19112725
563.3802817,0.866101695,28.75058934
564.7887324,0.856779661,30.91489969
566.1971831,0.838983051,35.11295487
567.6056338,0.796610169,45.47796844
569.0140845,0.683050847,76.23719499
570.4225352,0.511864407,133.9391039
571.8309859,0.374670032,196.3419108
573.2394366,0.230717437,293.312307
574.6478873,0.16440678,361.0823117
576.056338,0.140677966,392.2563858
577.4647887,0.125423729,415.2114887
578.8732394,0.089830508,481.9661247
580.2816901,0.072881356,523.7844842
581.6901408,0.058474576,567.8326426
583.0985915,0.050847458,595.785031
584.5070423,0.049152542,602.5653414
585.915493,0.060169492,562.1179681
587.3239437,0.089830508,481.9661247
588.7323944,0.127118644,412.5268847
590.1408451,0.177118644,346.1870931
591.5492958,0.23559322,289.1297208
592.9577465,0.290677966,247.1078541
594.3661972,0.356779661,206.1273768
595.7746479,0.423728814,171.7323238
597.1830986,0.500847458,138.29074
598.5915493,0.587377342,106.417567
600,0.661864407,82.53891352
601.4084507,0.730508475,62.80288936
602.8169014,0.783898305,48.69519599
604.2253521,0.81779661,40.22832322
605.6338028,0.844067797,33.90449198
607.0422535,0.866101695,28.75058934
608.4507042,0.880508475,25.45114527
609.8591549,0.888135593,23.72617052
611.2676056,0.891525424,22.96426483
612.6760563,0.894067797,22.39473431
614.084507,0.894915254,22.20525064
615.4929577,0.895762712,22.01594632
616.9014085,0.895762712,22.01594632
618.3098592,0.895762712,22.01594632
619.7183099,0.895762712,22.01594632
621.1267606,0.894067797,22.39473431
622.5352113,0.888135593,23.72617052
623.943662,0.883050847,24.87449903
625.3521127,0.876271186,26.41593248
626.7605634,0.871186441,27.57985429
628.1690141,0.868644068,28.16436518
629.5774648,0.86779661,28.35958237
630.9859155,0.869491525,27.96933835
632.3943662,0.871186441,27.57985429
633.8028169,0.872033898,27.38539633
635.2112676,0.873728814,26.99704669
636.6197183,0.876271186,26.41593248
638.028169,0.878813559,25.83650185
639.4366197,0.88220339,25.06652977
640.8450704,0.88559322,24.29951061
642.2535211,0.888983051,23.53542181
